scan,t,tau,beta,c,y0,dtau,dbeta,dc,dy0,ID_sample,T,d,E,Q,Note
GeO2_6_0001_0007,100.2,5.165474184722832,0.7179508951586328,0.0330480169985969,1.0021972175962062,0.4671733911524472,0.0441450158456533,0.0017165317002669,6.577643059522903e-05,6,30,100,9.7,0.19,test
GeO2_6_0001_0008,600.2,5.335210875472768,0.7301447377100165,0.0324153781768371,1.0021804669389809,0.1940794731544623,0.0178777537575979,0.0006735924686074,9.69505504048785e-06,6,30,100,9.7,0.19,test
GeO2_6_0001_0009,603.0,5.152362211637755,0.7241394084466544,0.0333973909315987,1.0021904665596948,0.2228175488863085,0.0212898010673983,0.0008067725169986,1.2709103913570263e-05,6,30,100,9.7,0.19,test
GeO2_6_0001_0011,37.7,2.4404215802130604,0.9193430066115498,0.0315986722390843,1.0020392469560613,0.5820981254735984,0.217980713620869,0.0050318704686945,0.0002759517906731,6,30,100,9.7,0.19,test
GeO2_6_0001_0011,113.0,5.093857648216071,0.9117751453134634,0.0311949057741412,1.001913035269056,0.542395225972725,0.0999105027696408,0.0022594305845342,0.0002047553026128,6,30,100,9.7,0.19,test
GeO2_6_0001_0011,188.4,5.927092445997631,0.9460413718663778,0.0294473337901468,1.0021496444269218,0.5699687834433834,0.0996951841266842,0.0019868538637437,0.0002044473832831,6,30,100,9.7,0.19,test
GeO2_6_0001_0011,263.8,5.377001954268389,0.694074414625501,0.0336644042817293,1.001211262844237,0.9191153971536266,0.0938664185601287,0.0034675630429766,0.0003615989531628,6,30,100,9.7,0.19,test
GeO2_6_0001_0012,402.0,5.240378666701236,0.725182827410554,0.0310251811741387,1.0021911692032106,0.252214428230344,0.0238541760895822,0.0008360154180757,1.646070381372274e-05,6,30,100,9.7,0.19,
GeO2_6_100C_0001_0003,603.0,4.940655674849096,0.7052407052786975,0.0292471108161323,1.0022089906252822,0.2680547641407057,0.0249801039179027,0.00087052322882,1.3175685438392528e-05,6,100,100,9.7,0.19,
GeO2_6_170C_0001_0001,603.0,4.411592618260854,0.716307732684951,0.0280443571705925,1.0022225448841056,0.3658511474500981,0.0396713363286968,0.0012894921441817,1.85579124652823e-05,6,170,100,9.7,0.19,
GeO2_6_240C_0001_0003,603.0,3.798683477035493,0.6978329137577168,0.0279577546744292,1.0022353057946447,0.2820649508644388,0.0332140383268888,0.0011307743178644,1.4758073087576932e-05,6,240,100,9.7,0.19,
GeO2_6_310C_0001_0003,603.0,3.168662092152248,0.7101110016475027,0.0265551981032589,1.0022552487540295,0.2580459160879015,0.0380097023652899,0.0011923297710845,1.4285066987832412e-05,6,310,100,9.7,0.19,
GeO2_6_380C_0001_0001,603.0,2.1833105672889683,0.6777282277656703,0.0255876234598522,1.0022460164804556,0.2156988503852705,0.0408439515396888,0.0013513943927462,1.2816310141291916e-05,6,380,100,9.7,0.19,
GeO2_6_450C_0001_0003,502.5,1.4768072884596413,0.5498890250525627,0.0283417027743801,1.0022563934622388,0.2524506999339663,0.0414972478669513,0.0022548348071152,1.6556153534454226e-05,6,450,100,9.7,0.19,
GeO2_6_520C_0001_0001,603.0,1.2090778852925457,0.527725511469813,0.0280976811184457,1.0022436017271197,0.2266585175421803,0.0408764378591756,0.0023884140033078,1.3927027914765504e-05,6,520,100,9.7,0.19,
GeO2_6_590C_0001_0003,552.8,0.5925616706308705,0.5602654308370442,0.0253005953813992,1.0022740247818835,0.1899889053415858,0.080275305958983,0.0038562307781439,1.5914966757021317e-05,6,590,100,9.7,0.19,
GeO2_6_590C_0002_0003,10.0,0.3839510542915315,0.4822529888245811,0.0308092040564563,1.0020105554417968,0.2369844481844192,0.1259293292240452,0.0083536318569849,0.0003298516643318,6,590,100,9.7,0.19,
GeO2_6_660C_0001_0001,603.0,0.2767362667981103,0.6458293381789185,0.0236853170053057,1.0022562913079032,0.1142865158230068,0.1446424162337485,0.0052057330339979,1.3679320984794626e-05,6,660,100,9.7,0.19,
